DATA_REF_SYNTAX,MODEL_ID,RCM_VERSION_ID,FREQUENCY,VAR_NAME,VERSION_NO,PANELS
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191015,SEA
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191025,SEA
CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191029,SEA
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191015,SEA
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191025,SEA
CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191029,SEA
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.historical.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191015,SEA
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191025,SEA
CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1,GERICS-REMO2015,v1,day,sfcWind,v20191029,SEA
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.historical.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1,ICTP-RegCM4-7,v0,day,sfcWind,v20190502,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
NA,NA,NA,NA,NA,NA,SEA
